                                                                                                                                
{'loss': 12.584, 'grad_norm': 3.5304293632507324, 'learning_rate': 0.0002977941176470588, 'epoch': 0.01}
{'loss': 6.4684, 'grad_norm': 1.2886942625045776, 'learning_rate': 8.38235294117647e-05, 'epoch': 0.72}
{'loss': 6.5383, 'grad_norm': 0.7948276996612549, 'learning_rate': 8.161764705882352e-05, 'epoch': 0.73}
{'loss': 6.4614, 'grad_norm': 0.8810959458351135, 'learning_rate': 7.941176470588235e-05, 'epoch': 0.74}
{'loss': 6.4286, 'grad_norm': 1.6478228569030762, 'learning_rate': 7.720588235294116e-05, 'epoch': 0.74}
{'loss': 6.5467, 'grad_norm': 0.8746100068092346, 'learning_rate': 7.5e-05, 'epoch': 0.75}
{'loss': 6.3236, 'grad_norm': 0.8728129863739014, 'learning_rate': 7.279411764705881e-05, 'epoch': 0.76}
{'loss': 6.6203, 'grad_norm': 0.9079385995864868, 'learning_rate': 7.058823529411764e-05, 'epoch': 0.76}
{'loss': 6.3905, 'grad_norm': 1.2347869873046875, 'learning_rate': 6.838235294117646e-05, 'epoch': 0.77}
{'loss': 6.4707, 'grad_norm': 0.8703575730323792, 'learning_rate': 6.617647058823529e-05, 'epoch': 0.78}
{'loss': 6.6171, 'grad_norm': 1.117214560508728, 'learning_rate': 6.39705882352941e-05, 'epoch': 0.79}
{'loss': 6.5191, 'grad_norm': 0.8563650846481323, 'learning_rate': 6.176470588235294e-05, 'epoch': 0.79}
{'loss': 6.5707, 'grad_norm': 1.5198712348937988, 'learning_rate': 5.955882352941175e-05, 'epoch': 0.8}
{'loss': 6.5583, 'grad_norm': 0.8471584320068359, 'learning_rate': 5.7352941176470576e-05, 'epoch': 0.81}
{'loss': 6.3172, 'grad_norm': 0.8508965373039246, 'learning_rate': 5.5147058823529414e-05, 'epoch': 0.82}
{'loss': 6.5759, 'grad_norm': 0.8230199813842773, 'learning_rate': 5.294117647058824e-05, 'epoch': 0.82}
{'loss': 6.466, 'grad_norm': 1.228162407875061, 'learning_rate': 5.0735294117647054e-05, 'epoch': 0.83}
{'loss': 6.6278, 'grad_norm': 1.0714386701583862, 'learning_rate': 4.852941176470588e-05, 'epoch': 0.84}
{'loss': 6.6245, 'grad_norm': 1.2683407068252563, 'learning_rate': 4.63235294117647e-05, 'epoch': 0.85}
{'loss': 6.5788, 'grad_norm': 1.0778911113739014, 'learning_rate': 4.4117647058823526e-05, 'epoch': 0.85}
{'loss': 6.479, 'grad_norm': 1.073542594909668, 'learning_rate': 4.191176470588235e-05, 'epoch': 0.86}
{'loss': 6.479, 'grad_norm': 0.8937867283821106, 'learning_rate': 3.970588235294117e-05, 'epoch': 0.87}
{'loss': 6.4647, 'grad_norm': 1.6042346954345703, 'learning_rate': 3.75e-05, 'epoch': 0.88}
{'loss': 6.4283, 'grad_norm': 0.8432641625404358, 'learning_rate': 3.529411764705882e-05, 'epoch': 0.88}
{'loss': 6.5175, 'grad_norm': 0.7539249062538147, 'learning_rate': 3.3088235294117644e-05, 'epoch': 0.89}
{'loss': 6.5772, 'grad_norm': 1.0994608402252197, 'learning_rate': 3.088235294117647e-05, 'epoch': 0.9}
{'loss': 6.6049, 'grad_norm': 1.1152948141098022, 'learning_rate': 2.8676470588235288e-05, 'epoch': 0.9}
{'loss': 6.6567, 'grad_norm': 0.9418302178382874, 'learning_rate': 2.647058823529412e-05, 'epoch': 0.91}
{'loss': 6.5257, 'grad_norm': 1.2158722877502441, 'learning_rate': 2.426470588235294e-05, 'epoch': 0.92}
{'loss': 6.3512, 'grad_norm': 0.9228653311729431, 'learning_rate': 2.2058823529411763e-05, 'epoch': 0.93}
{'loss': 6.5977, 'grad_norm': 0.9548107981681824, 'learning_rate': 1.9852941176470586e-05, 'epoch': 0.93}
{'loss': 6.3599, 'grad_norm': 1.1483747959136963, 'learning_rate': 1.764705882352941e-05, 'epoch': 0.94}
{'loss': 6.4219, 'grad_norm': 0.8635632395744324, 'learning_rate': 1.5441176470588234e-05, 'epoch': 0.95}
{'loss': 6.4609, 'grad_norm': 1.0523523092269897, 'learning_rate': 1.323529411764706e-05, 'epoch': 0.96}
{'loss': 6.5297, 'grad_norm': 0.9140781760215759, 'learning_rate': 1.1029411764705881e-05, 'epoch': 0.96}
{'loss': 6.4947, 'grad_norm': 1.2557244300842285, 'learning_rate': 8.823529411764705e-06, 'epoch': 0.97}
{'loss': 6.4368, 'grad_norm': 0.9960895776748657, 'learning_rate': 6.61764705882353e-06, 'epoch': 0.98}
{'loss': 6.3987, 'grad_norm': 1.0556577444076538, 'learning_rate': 4.4117647058823526e-06, 'epoch': 0.99}
{'loss': 6.6505, 'grad_norm': 0.9969242811203003, 'learning_rate': 2.2058823529411763e-06, 'epoch': 0.99}
{'loss': 6.4428, 'grad_norm': 1.2233279943466187, 'learning_rate': 0.0, 'epoch': 1.0}
                                                                                                                                
{'eval_runtime': 90.9329, 'eval_samples_per_second': 7.478, 'eval_steps_per_second': 0.935, 'epoch': 1.0}
{'train_runtime': 2106.7941, 'train_samples_per_second': 2.582, 'train_steps_per_second': 0.323, 'train_loss': 6.654388927010929, 'epoch': 1.0}
